Order ID,Cust Name,Cust ID,Customer Email,Customer Age,Customer Gender,Customer Region,Customer City,Product Name,Product ID,Product Category,Unit Price,Quantity,Discount (%),Total Amount,Payment Method,Order Status,Order Date,Delivery Days,Rating
ORD-000016,Daniel Rodriguez,CUST-0319,daniel.rodriguez319@example.com,23,Male,Central,Bhopal,Travel Guide,PROD-0040,Books,22.38,2,10,40.28,UPI,Completed,2024-07-03,11,4
ORD-000017,Meena Anderson,CUST-0220,meena.anderson220@example.com,53,Female,North,Amritsar,Tennis Racket,PROD-0047,Sports,61.92,1,0,61.92,Debit Card,Completed,2025-09-20,11,5
ORD-000018,Meena Jones,CUST-0107,meena.jones107@example.com,22,Female,South,Chennai,Tea Kettle,PROD-0030,Home & Kitchen,40.05,1,10,36.05,Net Banking,Cancelled,2024-11-06,,
ORD-000019,Priya Mehta,CUST-0712,priya.mehta712@example.com,26,Male,South,Chennai,External SSD 1TB,PROD-0010,Electronics,77.83,1,5,73.94,Cash on Delivery,Completed,2024-06-04,13,5
ORD-000020,Swati Malhotra,CUST-0358,swati.malhotra358@example.com,68,Female,South,Chennai,Web Development,PROD-0034,Books,44.41,1,5,42.19,Net Banking,Completed,2025-11-08,14,5
ORD-000021,Priya Smith,CUST-0675,priya.smith675@example.com,27,Other,North,Delhi,Knife Set,PROD-0025,Home & Kitchen,68.52,2,10,123.34,Credit Card,Returned,2024-09-24,,
ORD-000022,Linda Iyer,CUST-0248,linda.iyer248@example.com,23,Male,West,Mumbai,Sports Socks (3-pack),PROD-0018,Clothing,13.94,2,15,23.7,Net Banking,Pending,2025-05-08,,
ORD-000023,Ananya Lewis,CUST-0451,ananya.lewis451@example.com,59,Female,Central,Indore,USB-C Hub,PROD-0003,Electronics,61.28,2,5,116.43,Credit Card,Returned,2025-07-26,,
ORD-000024,Oliver Miller,CUST-0490,oliver.miller490@example.com,51,Other,North,Delhi,Formal Shirt,PROD-0015,Clothing,57.36,3,5,163.48,Net Banking,Completed,2024-05-08,15,5
ORD-000025,Susan Robinson,CUST-0140,susan.robinson140@example.com,60,Other,South,Hyderabad,Blender,PROD-0022,Home & Kitchen,46.5,1,10,41.85,Cash on Delivery,Pending,2025-08-24,,
ORD-000026,Neha Kumar,CUST-0193,neha.kumar193@example.com,39,Other,West,Ahmedabad,Non-Stick Pan,PROD-0024,Home & Kitchen,32.73,3,5,93.28,Wallet,Completed,2025-02-14,14,5
ORD-000027,Ananya Lee,CUST-0611,ananya.lee611@example.com,57,Male,Central,Jabalpur,Dish Rack,PROD-0029,Home & Kitchen,28.32,1,20,22.66,Wallet,Returned,2025-11-09,,
ORD-000028,William Moore,CUST-0336,william.moore336@example.com,20,Other,West,Ahmedabad,Non-Stick Pan,PROD-0024,Home & Kitchen,32.73,2,15,55.64,Wallet,Pending,2024-08-24,,
ORD-000029,Anthony White,CUST-0244,anthony.white244@example.com,68,Other,West,Mumbai,Casual Shorts,PROD-0017,Clothing,29.07,2,5,55.23,Cash on Delivery,Returned,2024-04-11,,
ORD-000030,Vikram Miller,CUST-0405,vikram.miller405@example.com,48,Other,Central,Jabalpur,Water Bottle,PROD-0026,Home & Kitchen,17.56,5,10,79.02,Wallet,Completed,2024-06-03,6,3
ORD-000031,Lucas Gupta,CUST-0057,lucas.gupta57@example.com,44,Other,Central,Bhopal,Blender,PROD-0022,Home & Kitchen,46.5,1,20,37.2,Credit Card,Completed,2025-02-02,1,2
ORD-000032,Lisa Nair,CUST-0114,lisa.nair114@example.com,19,Female,Central,Jabalpur,Resistance Bands,PROD-0043,Sports,22.74,3,0,68.22,Cash on Delivery,Completed,2024-11-30,2,4
ORD-000033,Donald Young,CUST-0471,donald.young471@example.com,35,Female,South,Bangalore,Hoodie,PROD-0013,Clothing,50.64,2,15,86.09,Cash on Delivery,Returned,2025-09-30,,
ORD-000034,Margaret Reddy,CUST-0084,margaret.reddy84@example.com,30,Female,West,Goa,Laptop Stand,PROD-0009,Electronics,59.55,4,15,202.47,Cash on Delivery,Completed,2024-01-02,11,5
ORD-000035,Donald King,CUST-0144,donald.king144@example.com,31,Other,South,Chennai,Dumbbells (Pair),PROD-0042,Sports,77.78,3,5,221.67,Net Banking,Returned,2024-11-06,,
ORD-000036,Aarav Davis,CUST-0587,aarav.davis587@example.com,59,Female,South,Chennai,Travel Guide,PROD-0040,Books,22.38,1,10,20.14,Cash on Delivery,Cancelled,2025-12-26,,
ORD-000037,Rajesh Allen,CUST-0415,rajesh.allen415@example.com,30,Other,West,Pune,Python Programming,PROD-0031,Books,22.63,1,10,20.37,UPI,Completed,2024-08-11,1,4
ORD-000038,Charles Kulkarni,CUST-0542,charles.kulkarni542@example.com,40,Female,Central,Raipur,Monitor Stand,PROD-0008,Electronics,53.18,2,20,85.09,Debit Card,Returned,2025-04-22,,
ORD-000039,Amit Rodriguez,CUST-0644,amit.rodriguez644@example.com,44,Male,West,Ahmedabad,Storage Containers,PROD-0027,Home & Kitchen,35.05,4,20,112.16,Net Banking,Returned,2024-11-20,,
ORD-000040,Ashley Gupta,CUST-0072,ashley.gupta72@example.com,53,Male,East,Ranchi,Cookbook,PROD-0039,Books,22.32,1,25,16.74,Debit Card,Pending,2025-06-27,,
ORD-000041,Donald King,CUST-0144,donald.king144@example.com,31,Other,South,Chennai,Bluetooth Headphones,PROD-0002,Electronics,92.28,2,15,156.88,Net Banking,Returned,2025-06-22,,
ORD-000042,John Kumar,CUST-0295,john.kumar295@example.com,53,Other,East,Kolkata,Monitor Stand,PROD-0008,Electronics,53.18,2,0,106.36,Wallet,Returned,2025-10-06,,
ORD-000043,Charles Patel,CUST-0229,charles.patel229@example.com,19,Male,South,Coimbatore,Bluetooth Headphones,PROD-0002,Electronics,92.28,1,5,87.67,Wallet,Returned,2024-04-29,,
ORD-000044,Kavita Thompson,CUST-0447,kavita.thompson447@example.com,45,Female,North,Delhi,Cookbook,PROD-0039,Books,22.32,1,5,21.2,Cash on Delivery,Returned,2024-11-20,,
ORD-000045,Michael Smith,CUST-0606,michael.smith606@example.com,54,Female,South,Kochi,Smartwatch,PROD-0005,Electronics,158.2,2,5,300.58,Debit Card,Completed,2024-10-07,14,4
ORD-000046,Isabella Rao,CUST-0592,isabella.rao592@example.com,18,Male,Central,Raipur,Resistance Bands,PROD-0043,Sports,22.74,1,10,20.47,Debit Card,Returned,2024-08-21,,
ORD-000047,James Harris,CUST-0352,james.harris352@example.com,25,Male,East,Bhubaneswar,Laptop Stand,PROD-0009,Electronics,59.55,3,5,169.72,Net Banking,Cancelled,2025-10-12,,
ORD-000048,Jessica Miller,CUST-0466,jessica.miller466@example.com,42,Male,South,Hyderabad,Keyboard Mechanical,PROD-0007,Electronics,97.82,1,20,78.26,Cash on Delivery,Completed,2024-09-03,10,4
ORD-000049,Diya Young,CUST-0582,diya.young582@example.com,22,Other,West,Ahmedabad,Coffee Maker,PROD-0021,Home & Kitchen,62.05,3,0,186.15,Net Banking,Completed,2024-07-09,3,
ORD-000050,Manoj Lopez,CUST-0780,manoj.lopez780@example.com,44,Male,Central,Indore,Casual Shorts,PROD-0017,Clothing,29.07,1,10,26.16,Debit Card,Cancelled,2024-10-12,,
ORD-000051,Joseph Garcia,CUST-0765,joseph.garcia765@example.com,42,Male,West,Surat,Yoga Mat,PROD-0041,Sports,42.7,2,10,76.86,Credit Card,Completed,2025-07-09,9,3
ORD-000052,Sunita Bhat,CUST-0077,sunita.bhat77@example.com,42,Male,South,Bangalore,Scarf,PROD-0020,Clothing,33.28,3,0,99.84,Wallet,Completed,2024-02-17,5,1
ORD-000053,Donald Thomas,CUST-0533,donald.thomas533@example.com,20,Female,West,Goa,Bluetooth Headphones,PROD-0002,Electronics,92.28,1,5,87.67,UPI,Cancelled,2024-03-28,,
ORD-000054,Riya Chopra,CUST-0325,riya.chopra325@example.com,57,Female,West,Mumbai,Football,PROD-0045,Sports,29.05,1,10,26.14,Net Banking,Completed,2025-12-11,13,5
ORD-000055,Divya Hernandez,CUST-0716,divya.hernandez716@example.com,68,Other,West,Mumbai,Cotton T-Shirt,PROD-0011,Clothing,30.65,3,5,87.35,Cash on Delivery,Completed,2025-09-16,3,
ORD-000056,Sandra Martin,CUST-0101,sandra.martin101@example.com,66,Female,Central,Nagpur,Football,PROD-0045,Sports,29.05,1,10,26.14,Credit Card,Completed,2024-09-29,4,4
ORD-000057,Arjun Shah,CUST-0423,arjun.shah423@example.com,20,Female,West,Pune,Denim Jeans,PROD-0012,Clothing,82.97,4,25,248.91,Credit Card,Returned,2025-02-08,,
ORD-000058,Richard Reddy,CUST-0222,richard.reddy222@example.com,20,Female,South,Bangalore,External SSD 1TB,PROD-0010,Electronics,77.83,1,5,73.94,Credit Card,Pending,2024-03-15,,
ORD-000059,Diya Rao,CUST-0180,diya.rao180@example.com,25,Other,North,Lucknow,Travel Guide,PROD-0040,Books,22.38,1,10,20.14,Net Banking,Pending,2025-08-26,,
ORD-000060,Riya Verma,CUST-0480,riya.verma480@example.com,55,Other,East,Ranchi,Gym Bag,PROD-0050,Sports,52.65,1,5,50.02,Net Banking,Completed,2025-08-07,10,5
ORD-000061,Patricia Reddy,CUST-0593,patricia.reddy593@example.com,48,Male,West,Pune,Coffee Maker,PROD-0021,Home & Kitchen,62.05,3,0,186.15,Debit Card,Cancelled,2025-10-20,,
ORD-000062,Rahul Brown,CUST-0261,rahul.brown261@example.com,67,Other,East,Patna,Tennis Racket,PROD-0047,Sports,61.92,2,10,111.46,Net Banking,Completed,2024-03-16,8,5
ORD-000063,Donald Anderson,CUST-0467,donald.anderson467@example.com,37,Other,South,Chennai,Wireless Mouse,PROD-0001,Electronics,45.68,1,5,43.4,Net Banking,Completed,2024-05-31,7,
ORD-000064,Donald Iyer,CUST-0442,donald.iyer442@example.com,51,Female,South,Hyderabad,Keyboard Mechanical,PROD-0007,Electronics,97.82,1,5,92.93,Debit Card,Completed,2025-07-22,12,5
ORD-000065,Mary Allen,CUST-0213,mary.allen213@example.com,30,Male,West,Pune,Bluetooth Headphones,PROD-0002,Electronics,92.28,3,5,263.0,Cash on Delivery,Completed,2025-01-05,4,2
ORD-000066,Charlotte Thompson,CUST-0717,charlotte.thompson717@example.com,25,Female,Central,Raipur,External SSD 1TB,PROD-0010,Electronics,77.83,2,0,155.66,Cash on Delivery,Returned,2024-09-15,,
ORD-000067,Rajesh Rao,CUST-0143,rajesh.rao143@example.com,38,Male,North,Chandigarh,Machine Learning Guide,PROD-0033,Books,42.63,2,25,63.95,Credit Card,Cancelled,2024-06-24,,
ORD-000068,Isha Young,CUST-0041,isha.young41@example.com,48,Male,Central,Jabalpur,Python Programming,PROD-0031,Books,22.63,2,5,43.0,Debit Card,Completed,2024-07-26,3,5
ORD-000069,Lucas Rodriguez,CUST-0734,lucas.rodriguez734@example.com,55,Other,South,Kochi,Cutting Board,PROD-0028,Home & Kitchen,11.96,5,15,50.83,UPI,Pending,2024-10-24,,
ORD-000070,Sunita Reddy,CUST-0153,sunita.reddy153@example.com,56,Other,Central,Raipur,Denim Jeans,PROD-0012,Clothing,82.97,1,0,82.97,Net Banking,Pending,2024-03-06,,
ORD-000071,Lisa Hernandez,CUST-0024,lisa.hernandez24@example.com,18,Other,East,Ranchi,Self-Help Guide,PROD-0036,Books,10.26,1,5,9.75,Wallet,Cancelled,2024-09-16,,
ORD-000072,Ashley Gupta,CUST-0072,ashley.gupta72@example.com,53,Male,East,Ranchi,Cutting Board,PROD-0028,Home & Kitchen,11.96,2,0,23.92,Net Banking,Returned,2025-09-19,,
ORD-000073,Margaret Young,CUST-0781,margaret.young781@example.com,36,Male,Central,Bhopal,Running Shoes,PROD-0014,Clothing,41.04,2,5,77.98,Wallet,Pending,2024-06-09,,
ORD-000074,Betty Chopra,CUST-0749,betty.chopra749@example.com,43,Female,East,Guwahati,Coffee Maker,PROD-0021,Home & Kitchen,62.05,1,0,62.05,Credit Card,Completed,2025-12-27,1,
ORD-000075,Sandra White,CUST-0034,sandra.white34@example.com,52,Other,West,Pune,Machine Learning Guide,PROD-0033,Books,42.63,1,5,40.5,UPI,Cancelled,2025-07-04,,
ORD-000076,Mark Brown,CUST-0728,mark.brown728@example.com,68,Male,North,Amritsar,Laptop Stand,PROD-0009,Electronics,59.55,1,20,47.64,Credit Card,Returned,2024-07-31,,
ORD-000077,Ishaan White,CUST-0014,ishaan.white14@example.com,64,Male,South,Coimbatore,Running Shoes,PROD-0014,Clothing,41.04,2,25,61.56,Debit Card,Completed,2024-05-17,4,4
ORD-000078,Matthew King,CUST-0764,matthew.king764@example.com,57,Female,North,Chandigarh,Dumbbells (Pair),PROD-0042,Sports,77.78,2,0,155.56,UPI,Returned,2024-07-13,,
ORD-000079,Joseph Patel,CUST-0700,joseph.patel700@example.com,48,Male,East,Ranchi,External SSD 1TB,PROD-0010,Electronics,77.83,4,10,280.19,Cash on Delivery,Completed,2024-07-21,6,5
ORD-000080,Divya King,CUST-0118,divya.king118@example.com,23,Female,West,Ahmedabad,Cutting Board,PROD-0028,Home & Kitchen,11.96,3,0,35.88,Net Banking,Completed,2025-07-27,14,5
ORD-000081,Rohit Rodriguez,CUST-0727,rohit.rodriguez727@example.com,65,Female,South,Kochi,Water Bottle,PROD-0026,Home & Kitchen,17.56,1,5,16.68,Net Banking,Pending,2025-03-12,,
ORD-000082,Isabella Robinson,CUST-0572,isabella.robinson572@example.com,58,Female,East,Ranchi,Python Programming,PROD-0031,Books,22.63,3,5,64.5,UPI,Completed,2024-09-11,14,1
ORD-000083,Ishaan Malhotra,CUST-0286,ishaan.malhotra286@example.com,20,Male,West,Surat,Casual Shorts,PROD-0017,Clothing,29.07,1,0,29.07,Net Banking,Completed,2024-04-11,7,4
ORD-000084,Ashley Miller,CUST-0005,ashley.miller5@example.com,55,Female,South,Kochi,Bluetooth Headphones,PROD-0002,Electronics,92.28,2,0,184.56,Credit Card,Pending,2024-12-05,,
ORD-000085,Rahul Allen,CUST-0103,rahul.allen103@example.com,34,Male,West,Surat,Blender,PROD-0022,Home & Kitchen,46.5,3,0,139.5,Net Banking,Completed,2025-02-20,3,5
ORD-000086,Nikhil Patel,CUST-0710,nikhil.patel710@example.com,50,Other,West,Mumbai,Cotton T-Shirt,PROD-0011,Clothing,30.65,2,10,55.17,UPI,Completed,2024-10-29,2,4
ORD-000087,Riya Menon,CUST-0019,riya.menon19@example.com,65,Other,South,Chennai,Dumbbells (Pair),PROD-0042,Sports,77.78,2,15,132.23,Wallet,Pending,2025-09-22,,
ORD-000088,Ashley Hernandez,CUST-0426,ashley.hernandez426@example.com,50,Female,West,Pune,Keyboard Mechanical,PROD-0007,Electronics,97.82,3,15,249.44,UPI,Completed,2024-05-05,14,3
ORD-000089,Rahul Smith,CUST-0382,rahul.smith382@example.com,30,Male,Central,Nagpur,Cotton T-Shirt,PROD-0011,Clothing,30.65,2,10,55.17,Cash on Delivery,Returned,2024-05-16,,
ORD-000090,David Sharma,CUST-0050,david.sharma50@example.com,68,Female,West,Ahmedabad,Coffee Maker,PROD-0021,Home & Kitchen,62.05,2,5,117.89,Net Banking,Returned,2025-04-11,,
ORD-000091,Aadhya Sharma,CUST-0652,aadhya.sharma652@example.com,26,Male,North,Chandigarh,Scarf,PROD-0020,Clothing,33.28,1,20,26.62,Wallet,Returned,2024-02-28,,
ORD-000092,Riya Davis,CUST-0314,riya.davis314@example.com,70,Female,North,Chandigarh,Data Science Handbook,PROD-0032,Books,42.44,5,0,212.2,Wallet,Returned,2024-12-14,,
ORD-000093,Karan Lewis,CUST-0204,karan.lewis204@example.com,22,Female,Central,Indore,Cookbook,PROD-0039,Books,22.32,1,15,18.97,Debit Card,Completed,2024-03-30,15,4
ORD-000094,Lisa Robinson,CUST-0333,lisa.robinson333@example.com,69,Male,West,Pune,Coffee Maker,PROD-0021,Home & Kitchen,62.05,2,5,117.89,Cash on Delivery,Completed,2024-07-04,8,5
ORD-000095,Nisha Clark,CUST-0552,nisha.clark552@example.com,58,Female,West,Goa,Denim Jeans,PROD-0012,Clothing,82.97,2,0,165.94,Debit Card,Completed,2025-03-31,9,5
ORD-000096,Michael Rao,CUST-0021,michael.rao21@example.com,49,Male,South,Coimbatore,Casual Shorts,PROD-0017,Clothing,29.07,4,5,110.47,Cash on Delivery,Cancelled,2025-06-30,,
ORD-000097,Myra Williams,CUST-0008,myra.williams8@example.com,34,Male,East,Ranchi,Basketball,PROD-0046,Sports,39.63,3,5,112.95,UPI,Completed,2025-07-10,2,5
ORD-000098,Mary Shah,CUST-0135,mary.shah135@example.com,40,Female,West,Pune,Denim Jeans,PROD-0012,Clothing,82.97,2,20,132.75,UPI,Returned,2025-01-11,,
ORD-000099,Jessica Moore,CUST-0709,jessica.moore709@example.com,33,Female,West,Goa,Gym Bag,PROD-0050,Sports,52.65,1,10,47.38,UPI,Completed,2025-09-02,1,4
ORD-000100,Mary Pillai,CUST-0578,mary.pillai578@example.com,27,Other,West,Surat,Storage Containers,PROD-0027,Home & Kitchen,35.05,2,5,66.59,Credit Card,Pending,2025-09-05,,
ORD-000101,Sophia Jones,CUST-0110,sophia.jones110@example.com,40,Female,West,Mumbai,Jump Rope,PROD-0044,Sports,18.67,1,5,17.74,Cash on Delivery,Cancelled,2025-08-29,,
ORD-000102,Charles Patel,CUST-0229,charles.patel229@example.com,19,Male,South,Coimbatore,Bluetooth Headphones,PROD-0002,Electronics,92.28,3,15,235.31,UPI,Completed,2025-04-23,3,4
ORD-000103,Lisa Robinson,CUST-0333,lisa.robinson333@example.com,69,Male,West,Pune,Gym Bag,PROD-0050,Sports,52.65,4,0,210.6,UPI,Completed,2025-02-02,9,4
ORD-000104,Sai Walker,CUST-0544,sai.walker544@example.com,39,Other,North,Delhi,Fiction Novel,PROD-0037,Books,12.83,2,20,20.53,Debit Card,Completed,2024-04-21,11,
ORD-000105,Matthew Iyer,CUST-0186,matthew.iyer186@example.com,48,Female,West,Goa,Monitor Stand,PROD-0008,Electronics,53.18,3,0,159.54,Cash on Delivery,Pending,2025-12-27,,
ORD-000106,Isabella Anderson,CUST-0796,isabella.anderson796@example.com,29,Other,Central,Raipur,Knife Set,PROD-0025,Home & Kitchen,68.52,1,20,54.82,Wallet,Completed,2024-07-19,8,4
ORD-000107,Sarah Nair,CUST-0073,sarah.nair73@example.com,41,Male,North,Jaipur,Laptop Stand,PROD-0009,Electronics,59.55,2,10,107.19,Cash on Delivery,Pending,2025-06-12,,
ORD-000108,Vivaan Anderson,CUST-0739,vivaan.anderson739@example.com,56,Male,South,Chennai,Formal Shirt,PROD-0015,Clothing,57.36,1,25,43.02,Wallet,Completed,2025-05-22,7,
ORD-000109,Krishna Wright,CUST-0120,krishna.wright120@example.com,33,Male,North,Delhi,Swimming Goggles,PROD-0048,Sports,16.81,1,15,14.29,Wallet,Cancelled,2025-09-10,,
ORD-000110,Divya Moore,CUST-0491,divya.moore491@example.com,50,Other,East,Kolkata,Fiction Novel,PROD-0037,Books,12.83,4,15,43.62,UPI,Completed,2024-05-09,2,5
ORD-000111,Joseph Patel,CUST-0713,joseph.patel713@example.com,70,Other,West,Pune,Water Bottle,PROD-0026,Home & Kitchen,17.56,4,20,56.19,Wallet,Completed,2024-08-13,9,5
ORD-000112,Robert Williams,CUST-0554,robert.williams554@example.com,29,Other,West,Goa,Web Development,PROD-0034,Books,44.41,2,20,71.06,UPI,Pending,2024-05-29,,
ORD-000113,Anthony Malhotra,CUST-0752,anthony.malhotra752@example.com,29,Female,South,Coimbatore,Dumbbells (Pair),PROD-0042,Sports,77.78,5,10,350.01,Net Banking,Pending,2025-09-21,,
ORD-000114,Mary White,CUST-0525,mary.white525@example.com,38,Male,South,Kochi,Dumbbells (Pair),PROD-0042,Sports,77.78,1,15,66.11,Debit Card,Cancelled,2024-09-21,,
ORD-000115,Anjali Young,CUST-0590,anjali.young590@example.com,59,Male,South,Kochi,Tea Kettle,PROD-0030,Home & Kitchen,40.05,1,0,40.05,Credit Card,Pending,2025-12-29,,
ORD-000116,Nancy Singh,CUST-0661,nancy.singh661@example.com,42,Male,North,Jaipur,Wireless Mouse,PROD-0001,Electronics,45.68,2,5,86.79,Cash on Delivery,Pending,2024-10-18,,
ORD-000117,James Bhat,CUST-0627,james.bhat627@example.com,41,Male,North,Amritsar,Tennis Racket,PROD-0047,Sports,61.92,2,0,123.84,Wallet,Completed,2024-10-10,8,5
ORD-000118,Riya Wright,CUST-0676,riya.wright676@example.com,41,Male,North,Amritsar,Casual Shorts,PROD-0017,Clothing,29.07,4,5,110.47,Credit Card,Cancelled,2024-04-22,,
ORD-000119,Suresh Miller,CUST-0463,suresh.miller463@example.com,21,Other,East,Patna,Water Bottle,PROD-0026,Home & Kitchen,17.56,2,15,29.85,UPI,Completed,2025-03-12,7,5
ORD-000120,Sai Pillai,CUST-0292,sai.pillai292@example.com,51,Other,West,Surat,Dumbbells (Pair),PROD-0042,Sports,77.78,1,15,66.11,Credit Card,Pending,2024-12-29,,
ORD-000121,Suresh Bhat,CUST-0706,suresh.bhat706@example.com,27,Other,Central,Bhopal,Water Bottle,PROD-0026,Home & Kitchen,17.56,1,15,14.93,Cash on Delivery,Completed,2024-09-22,6,4
ORD-000122,Rajesh Anderson,CUST-0215,rajesh.anderson215@example.com,69,Male,East,Patna,Travel Guide,PROD-0040,Books,22.38,2,25,33.57,Cash on Delivery,Returned,2025-10-14,,
ORD-000123,Sandra Malhotra,CUST-0759,sandra.malhotra759@example.com,27,Male,West,Mumbai,Portable Charger,PROD-0004,Electronics,42.05,2,10,75.69,UPI,Completed,2025-08-09,6,4
ORD-000124,Mary Pillai,CUST-0462,mary.pillai462@example.com,60,Other,East,Bhubaneswar,Machine Learning Guide,PROD-0033,Books,42.63,3,20,102.31,Cash on Delivery,Completed,2025-05-23,7,5
ORD-000125,Jennifer Kulkarni,CUST-0074,jennifer.kulkarni74@example.com,40,Other,South,Bangalore,Knife Set,PROD-0025,Home & Kitchen,68.52,2,5,130.19,Wallet,Completed,2024-08-11,11,2
ORD-000126,Lisa Kumar,CUST-0216,lisa.kumar216@example.com,61,Other,South,Chennai,Portable Charger,PROD-0004,Electronics,42.05,5,10,189.22,Wallet,Cancelled,2024-04-10,,
ORD-000127,Lisa Joshi,CUST-0478,lisa.joshi478@example.com,31,Female,West,Ahmedabad,Tea Kettle,PROD-0030,Home & Kitchen,40.05,5,0,200.25,Debit Card,Returned,2025-12-03,,
ORD-000128,Aditya Lee,CUST-0324,aditya.lee324@example.com,33,Other,Central,Jabalpur,Resistance Bands,PROD-0043,Sports,22.74,1,10,20.47,Cash on Delivery,Pending,2025-05-18,,
ORD-000129,Elizabeth Martinez,CUST-0224,elizabeth.martinez224@example.com,44,Other,East,Ranchi,Knife Set,PROD-0025,Home & Kitchen,68.52,2,0,137.04,Wallet,Returned,2024-07-21,,
ORD-000130,Karen Martin,CUST-0514,karen.martin514@example.com,44,Male,Central,Jabalpur,Coffee Maker,PROD-0021,Home & Kitchen,62.05,1,0,62.05,UPI,Completed,2024-07-12,10,5
ORD-000131,Noah Lopez,CUST-0134,noah.lopez134@example.com,19,Female,West,Ahmedabad,Self-Help Guide,PROD-0036,Books,10.26,1,15,8.72,Debit Card,Completed,2024-07-10,2,5
ORD-000132,Joseph Patel,CUST-0700,joseph.patel700@example.com,48,Male,East,Ranchi,Water Bottle,PROD-0026,Home & Kitchen,17.56,1,0,17.56,UPI,Completed,2024-08-31,12,5
ORD-000133,Aanya Jackson,CUST-0122,aanya.jackson122@example.com,62,Female,South,Kochi,Cap,PROD-0019,Clothing,12.46,2,0,24.92,Credit Card,Returned,2025-08-31,,
ORD-000134,Neha Kumar,CUST-0193,neha.kumar193@example.com,39,Other,West,Ahmedabad,Laptop Stand,PROD-0009,Electronics,59.55,5,0,297.75,Cash on Delivery,Completed,2025-05-08,2,4
ORD-000135,Manoj Reddy,CUST-0338,manoj.reddy338@example.com,43,Other,East,Guwahati,USB-C Hub,PROD-0003,Electronics,61.28,2,10,110.3,Credit Card,Completed,2024-11-17,6,5
ORD-000136,Sunita Reddy,CUST-0153,sunita.reddy153@example.com,56,Other,Central,Raipur,USB-C Hub,PROD-0003,Electronics,61.28,1,0,61.28,UPI,Completed,2024-09-14,4,4
ORD-000137,Sai Davis,CUST-0272,sai.davis272@example.com,22,Female,North,Lucknow,Non-Stick Pan,PROD-0024,Home & Kitchen,32.73,2,15,55.64,Cash on Delivery,Completed,2025-02-05,13,3
ORD-000138,Mary Pillai,CUST-0578,mary.pillai578@example.com,27,Other,West,Surat,Winter Jacket,PROD-0016,Clothing,125.83,4,10,452.99,Credit Card,Completed,2025-10-12,8,5
