I Sr No,Cust Name,Cust ID,Product Name,Product ID,Product Price,Quantity,Transaction ID,Transaction Date
214,Sara Pillai,CUST-0276,Denim Jeans,PROD-0012,82.97,4,TXN-000214,2025-11-30
215,David Smith,CUST-0195,Data Science Handbook,PROD-0032,42.44,3,TXN-000215,2024-08-28
216,Sneha Lewis,CUST-0754,Winter Jacket,PROD-0016,125.83,4,TXN-000216,2024-07-30
217,Deepak Thompson,CUST-0235,Hoodie,PROD-0013,50.64,3,TXN-000217,2025-09-25
218,Oliver Lee,CUST-0365,External SSD 1TB,PROD-0010,77.83,3,TXN-000218,2024-05-02
219,Susan Lewis,CUST-0081,Jump Rope,PROD-0044,18.67,5,TXN-000219,2025-05-19
220,Sai Garcia,CUST-0629,Wireless Mouse,PROD-0001,45.68,3,TXN-000220,2025-07-08
221,Reyansh Lewis,CUST-0044,Python Programming,PROD-0031,22.63,1,TXN-000221,2024-11-18
222,Robert Singh,CUST-0505,Fiction Novel,PROD-0037,12.83,4,TXN-000222,2025-05-17
223,Rohit Robinson,CUST-0188,Cycling Gloves,PROD-0049,31.15,4,TXN-000223,2024-10-13
224,Priya Martinez,CUST-0408,Formal Shirt,PROD-0015,57.36,3,TXN-000224,2024-05-11
225,Deepak Garcia,CUST-0056,Web Development,PROD-0034,44.41,3,TXN-000225,2025-05-04
226,Robert Williams,CUST-0554,USB-C Hub,PROD-0003,61.28,2,TXN-000226,2025-02-07
227,Daniel Taylor,CUST-0703,Gym Bag,PROD-0050,52.65,1,TXN-000227,2024-05-03
228,Divya Hernandez,CUST-0716,Web Development,PROD-0034,44.41,2,TXN-000228,2025-12-06
229,Charles Moore,CUST-0009,Wireless Mouse,PROD-0001,45.68,2,TXN-000229,2025-01-23
230,Linda Malhotra,CUST-0595,Keyboard Mechanical,PROD-0007,97.82,1,TXN-000230,2025-09-19
231,Aanya Chopra,CUST-0266,Denim Jeans,PROD-0012,82.97,2,TXN-000231,2024-08-30
232,Sara Pillai,CUST-0276,Python Programming,PROD-0031,22.63,5,TXN-000232,2024-12-17
233,Nancy Pillai,CUST-0375,Denim Jeans,PROD-0012,82.97,2,TXN-000233,2024-08-03
234,Susan Davis,CUST-0430,Football,PROD-0045,29.05,3,TXN-000234,2025-01-08
235,Vikram Robinson,CUST-0411,Sports Socks (3-pack),PROD-0018,13.94,2,TXN-000235,2025-08-08
236,Mary Shah,CUST-0135,Fiction Novel,PROD-0037,12.83,2,TXN-000236,2024-04-12
237,Vivaan Anderson,CUST-0739,Sports Socks (3-pack),PROD-0018,13.94,3,TXN-000237,2025-07-22
238,Aanya Lewis,CUST-0443,Knife Set,PROD-0025,68.52,1,TXN-000238,2024-06-02
239,Ashley Harris,CUST-0485,Wireless Mouse,PROD-0001,45.68,1,TXN-000239,2025-05-26
240,Matthew Martin,CUST-0138,Yoga Mat,PROD-0041,42.7,2,TXN-000240,2024-11-19
241,Sai Rao,CUST-0499,Scarf,PROD-0020,33.28,1,TXN-000241,2025-08-04
242,Matthew Anderson,CUST-0049,Water Bottle,PROD-0026,17.56,1,TXN-000242,2024-06-16
243,Anthony Menon,CUST-0062,Running Shoes,PROD-0014,41.04,3,TXN-000243,2025-05-02
244,Donald Williams,CUST-0645,Keyboard Mechanical,PROD-0007,97.82,2,TXN-000244,2024-12-08
245,Anjali Gupta,CUST-0267,Non-Stick Pan,PROD-0024,32.73,1,TXN-000245,2025-07-24
246,Joseph Taylor,CUST-0264,Toaster,PROD-0023,31.12,1,TXN-000246,2024-05-04
247,Deepak Taylor,CUST-0360,Jump Rope,PROD-0044,18.67,5,TXN-000247,2024-07-22
248,Myra Sharma,CUST-0591,Fiction Novel,PROD-0037,12.83,2,TXN-000248,2025-07-05
249,Rahul Malhotra,CUST-0179,Gym Bag,PROD-0050,52.65,1,TXN-000249,2024-11-28
250,Ashley Jones,CUST-0690,Machine Learning Guide,PROD-0033,42.63,2,TXN-000250,2025-04-02
251,Susan Lewis,CUST-0081,Knife Set,PROD-0025,68.52,2,TXN-000251,2025-04-19
252,Nikhil Walker,CUST-0647,External SSD 1TB,PROD-0010,77.83,4,TXN-000252,2025-10-17
253,Ishaan Clark,CUST-0346,Storage Containers,PROD-0027,35.05,2,TXN-000253,2025-08-08
254,Rajesh Allen,CUST-0415,Smartwatch,PROD-0005,158.2,1,TXN-000254,2024-12-17
255,Aanya Clark,CUST-0234,Coffee Maker,PROD-0021,62.05,1,TXN-000255,2024-10-25
256,Mark Brown,CUST-0728,Sports Socks (3-pack),PROD-0018,13.94,2,TXN-000256,2025-02-08
257,Amit Kumar,CUST-0278,Dish Rack,PROD-0029,28.32,3,TXN-000257,2025-01-06
258,Arjun Moore,CUST-0766,History of AI,PROD-0038,15.71,2,TXN-000258,2025-04-06
259,Betty Shah,CUST-0424,Cotton T-Shirt,PROD-0011,30.65,1,TXN-000259,2024-01-24
260,Krishna Thomas,CUST-0129,Tennis Racket,PROD-0047,61.92,1,TXN-000260,2024-09-14
261,Priya Smith,CUST-0762,Football,PROD-0045,29.05,3,TXN-000261,2024-08-03
262,Richard Johnson,CUST-0171,Water Bottle,PROD-0026,17.56,1,TXN-000262,2024-03-06
263,Ashley Harris,CUST-0485,Self-Help Guide,PROD-0036,10.26,1,TXN-000263,2025-02-10
264,Myra Menon,CUST-0537,Cycling Gloves,PROD-0049,31.15,5,TXN-000264,2024-04-16
265,Rajesh Chopra,CUST-0269,Travel Guide,PROD-0040,22.38,1,TXN-000265,2025-11-01
266,Vihaan White,CUST-0400,Scarf,PROD-0020,33.28,1,TXN-000266,2024-10-17
267,Ashley Davis,CUST-0454,Yoga Mat,PROD-0041,42.7,1,TXN-000267,2025-06-23
268,Ashley Martinez,CUST-0175,Bluetooth Headphones,PROD-0002,92.28,1,TXN-000268,2024-12-31
